epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8886,3.03987,3.8847,2.27689,0.00219,0.0122,0.00031,0.0001,2.75367,4.16838,2.28819,0.000238167,0.000238167,0.000238167
2,31.5344,2.93113,3.80808,2.28795,0.00219,0.0122,0.00031,0.0001,2.75367,4.16838,2.28819,0.000700353,0.000700353,0.000700353
3,46.1585,3.02893,3.81732,2.3265,0.00219,0.0122,0.00031,0.0001,2.75367,4.16838,2.28819,0.00114368,0.00114368,0.00114368
4,61.5203,3.46831,3.85937,2.57715,0.00424,0.10772,0.00098,0.00019,3.56326,3.92203,3.5258,0.00134412,0.00134412,0.00134412
5,75.188,2.71876,3.34937,1.96523,0.00424,0.10772,0.00098,0.00019,3.56326,3.92203,3.5258,0.00131582,0.00131582,0.00131582
6,88.9599,2.83829,3.34555,1.97733,0.00424,0.10772,0.00098,0.00019,3.56326,3.92203,3.5258,0.00128753,0.00128753,0.00128753
7,102.837,2.65438,3.35285,1.90596,0.00424,0.10772,0.00098,0.00019,3.56326,3.92203,3.5258,0.00125923,0.00125923,0.00125923
8,117.831,2.34308,3.15328,1.68871,0.00703,0.20732,0.01612,0.00338,2.07495,3.70676,1.61636,0.00123094,0.00123094,0.00123094
9,131.446,1.94455,2.73868,1.50972,0.00703,0.20732,0.01612,0.00338,2.07495,3.70676,1.61636,0.00120265,0.00120265,0.00120265
10,145.353,2.32153,2.84777,1.86513,0.00703,0.20732,0.01612,0.00338,2.07495,3.70676,1.61636,0.00117435,0.00117435,0.00117435
11,159.992,2.36964,2.71525,1.84256,0.01848,0.19309,0.03562,0.01305,1.97908,3.49009,1.54968,0.00114606,0.00114606,0.00114606
12,174.256,1.97063,2.2979,1.57188,0.01848,0.19309,0.03562,0.01305,1.97908,3.49009,1.54968,0.00111776,0.00111776,0.00111776
13,188.803,2.09823,2.46854,1.6601,0.01848,0.19309,0.03562,0.01305,1.97908,3.49009,1.54968,0.00108947,0.00108947,0.00108947
14,203.649,2.12838,2.43381,1.68803,0.01848,0.19309,0.03562,0.01305,1.97908,3.49009,1.54968,0.00106118,0.00106118,0.00106118
15,218.749,2.13808,2.25224,1.61667,0.02914,0.19715,0.06325,0.03243,1.97327,3.36978,1.53275,0.00103288,0.00103288,0.00103288
16,233.694,2.019,2.15161,1.59079,0.02914,0.19715,0.06325,0.03243,1.97327,3.36978,1.53275,0.00100459,0.00100459,0.00100459
17,249.206,2.05944,2.0959,1.59339,0.02914,0.19715,0.06325,0.03243,1.97327,3.36978,1.53275,0.000976293,0.000976293,0.000976293
18,263.668,1.90198,2.20946,1.5751,0.03548,0.19309,0.07396,0.03683,1.96971,3.36402,1.53678,0.000947999,0.000947999,0.000947999
19,278.619,1.86183,2.02696,1.41862,0.03548,0.19309,0.07396,0.03683,1.96971,3.36402,1.53678,0.000919704,0.000919704,0.000919704
20,293.344,1.88049,1.94188,1.45301,0.03548,0.19309,0.07396,0.03683,1.96971,3.36402,1.53678,0.00089141,0.00089141,0.00089141
21,308.405,2.08333,2.00112,1.50775,0.03548,0.19309,0.07396,0.03683,1.96971,3.36402,1.53678,0.000863116,0.000863116,0.000863116
22,323.423,1.79971,1.98095,1.50179,0.03474,0.19309,0.0897,0.04231,1.95731,3.39372,1.53574,0.000834822,0.000834822,0.000834822
23,338.234,1.80107,1.83448,1.42306,0.03474,0.19309,0.0897,0.04231,1.95731,3.39372,1.53574,0.000806528,0.000806528,0.000806528
24,355.67,1.77139,1.96065,1.5219,0.03474,0.19309,0.0897,0.04231,1.95731,3.39372,1.53574,0.000778233,0.000778233,0.000778233
25,372.031,1.85071,1.95803,1.44083,0.03233,0.19715,0.07787,0.03842,2.00599,3.38712,1.58806,0.000749939,0.000749939,0.000749939
26,387.056,1.66516,1.8765,1.47412,0.03233,0.19715,0.07787,0.03842,2.00599,3.38712,1.58806,0.000721645,0.000721645,0.000721645
27,401.454,1.92473,1.99973,1.57178,0.03233,0.19715,0.07787,0.03842,2.00599,3.38712,1.58806,0.000693351,0.000693351,0.000693351
28,416.265,1.81675,1.74139,1.41125,0.03233,0.19715,0.07787,0.03842,2.00599,3.38712,1.58806,0.000665057,0.000665057,0.000665057
29,431.188,1.75719,1.72748,1.39838,0.51879,0.06098,0.07203,0.03817,2.01091,3.36401,1.58903,0.000636762,0.000636762,0.000636762
30,446.04,1.75787,1.78743,1.31868,0.51879,0.06098,0.07203,0.03817,2.01091,3.36401,1.58903,0.000608468,0.000608468,0.000608468
31,460.783,1.71509,1.78623,1.4023,0.51879,0.06098,0.07203,0.03817,2.01091,3.36401,1.58903,0.000580174,0.000580174,0.000580174
32,475.629,1.62601,1.73358,1.40279,0.56661,0.05285,0.09703,0.04327,2.06894,3.33213,1.62055,0.00055188,0.00055188,0.00055188
33,490.313,1.54643,1.78014,1.37327,0.56661,0.05285,0.09703,0.04327,2.06894,3.33213,1.62055,0.000523586,0.000523586,0.000523586
34,505.141,1.68994,1.68749,1.39041,0.56661,0.05285,0.09703,0.04327,2.06894,3.33213,1.62055,0.000495291,0.000495291,0.000495291
35,519.864,1.73125,1.69594,1.33582,0.56661,0.05285,0.09703,0.04327,2.06894,3.33213,1.62055,0.000466997,0.000466997,0.000466997
36,534.515,1.68436,1.72667,1.42935,0.55293,0.06283,0.07585,0.04253,2.06093,3.26509,1.6077,0.000438703,0.000438703,0.000438703
37,548.972,1.54784,1.70133,1.37271,0.55293,0.06283,0.07585,0.04253,2.06093,3.26509,1.6077,0.000410409,0.000410409,0.000410409
38,563.941,1.56157,1.6569,1.33409,0.55293,0.06283,0.07585,0.04253,2.06093,3.26509,1.6077,0.000382115,0.000382115,0.000382115
39,578.642,1.57733,1.77213,1.45027,0.52879,0.0813,0.11597,0.04455,2.00361,3.11709,1.59221,0.00035382,0.00035382,0.00035382
40,593.497,1.48252,1.75112,1.29455,0.52879,0.0813,0.11597,0.04455,2.00361,3.11709,1.59221,0.000325526,0.000325526,0.000325526
41,608.047,1.42009,1.56553,1.29388,0.52879,0.0813,0.11597,0.04455,2.00361,3.11709,1.59221,0.000297232,0.000297232,0.000297232
42,622.709,1.51172,1.59253,1.32841,0.52879,0.0813,0.11597,0.04455,2.00361,3.11709,1.59221,0.000268938,0.000268938,0.000268938
43,637.146,1.48008,1.62006,1.32257,0.49226,0.0815,0.16605,0.06076,1.94688,2.94101,1.51768,0.000240644,0.000240644,0.000240644
44,651.504,1.54234,1.63624,1.28894,0.49226,0.0815,0.16605,0.06076,1.94688,2.94101,1.51768,0.000212349,0.000212349,0.000212349
45,666.109,1.58365,1.64443,1.38243,0.49226,0.0815,0.16605,0.06076,1.94688,2.94101,1.51768,0.000184055,0.000184055,0.000184055
46,680.713,1.4509,1.49909,1.23853,0.49454,0.11648,0.22874,0.08346,1.93958,2.75615,1.52065,0.000155761,0.000155761,0.000155761
47,695.347,1.40598,1.47018,1.31894,0.49454,0.11648,0.22874,0.08346,1.93958,2.75615,1.52065,0.000127467,0.000127467,0.000127467
48,709.791,1.48895,1.62987,1.31081,0.49454,0.11648,0.22874,0.08346,1.93958,2.75615,1.52065,9.91726e-05,9.91726e-05,9.91726e-05
49,724.217,1.4131,1.39117,1.24352,0.49454,0.11648,0.22874,0.08346,1.93958,2.75615,1.52065,7.08784e-05,7.08784e-05,7.08784e-05
50,738.745,1.41277,1.54591,1.30632,0.49066,0.23159,0.27424,0.09653,1.88867,2.60437,1.48385,4.25842e-05,4.25842e-05,4.25842e-05
